Id,Designator,Footprint,Quantity,Designation
1,"J1,J2,J5,J8",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02
2,SW1,SW_SPST_Omron_B3FS-105xP,1,SW_Push 6mmx6mm SMD button
5,"D2,D3,D4,D1,PWR",LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,4,LED_0805
6,C13,C1206,1,1uF
7,C1,C1206,1,100nF
8,J7,USB_A_CONNFLY_DS1095-WNR0,1,USB_1
10,C7,PANASONIC_B,1,22uF
12,U1,LQFP-100_14x14mm_P0.5mm,1,CH32V303VCT6
13,IC8,SOT223,1,LM1117MPX-3.3
14,"C10,C8,C11,C6,C4,C2,C5,C9",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,7,100nF
15,"R3,R5,R6,R8,R7",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4,560
17,"R1,R2,R4",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,10k
18,C3,C0603,1,10uF
19,F2,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,1,Fuse 500MA Resettable SMD
